label,score,count
confusion,0.8870800989014762,14
grief,0.8798550963401794,2
neutral,0.8768297748539697,16016
gratitude,0.8402361848524639,70
disgust,0.79792371380233,124
embarrassment,0.7697493265333929,76
relief,0.7400124669075012,2
admiration,0.7287674307640345,326
fear,0.7180148316990762,84
remorse,0.7084405097094449,44
realization,0.6865277886390686,1
amusement,0.6837794086933136,375
sadness,0.6647276401519775,15
excitement,0.6532569766044617,5
nervousness,0.6483925223350525,5
disapproval,0.6392658111211416,37
caring,0.6359201192855835,5
joy,0.6180833807358375,26
optimism,0.5796875556310018,6
surprise,0.5755108509193431,193
love,0.5739686199360423,18
approval,0.5690980963408947,8
anger,0.5594177455344098,47
annoyance,0.49917310894581307,57
disappointment,0.485412715934217,16
