label,score,count
neutral,0.9317245734562435,16396
confusion,0.8445958296457926,12
surprise,0.7992079933484395,15
gratitude,0.7887575433534735,17
fear,0.7846400936444601,6
love,0.7534867227077484,2
joy,0.7483072777589163,6
embarrassment,0.7256905734539032,4
sadness,0.7203003168106079,2
disappointment,0.6971004788692181,13
disapproval,0.6788140705653599,7
optimism,0.667448020156692,34
remorse,0.6611157344735187,23
admiration,0.6405528008937835,20
nervousness,0.5791020363569259,10
anger,0.5303382873535156,1
approval,0.5078647633393606,3
grief,0.5064263939857483,1
caring,0.46731920838356017,5
disgust,0.42178669571876526,2
annoyance,0.38206762075424194,1
